Sales_Order,Stage,Amount,Probability,Sales_Person,Company_Industry,Contact_Title,Type,Lead_Source,State,days_to_close
5981,Perception Analysis,285000,25,Alex Rodriguez,Government,Transportation Director,New Business,RFP,AL,203
5982,Proposal/Price Quote,365000,65,Michael Chang,Government,Records Administrator,New Business,RFP,OH,123
5983,Proposal/Price Quote,195000,65,Michael Chang,Energy,Operations Director,New Business,Webinar,LA,101
5984,Qualification,95000,20,Michael Chang,Food & Beverage,Operations Director,Upgrade,Cold Call,CT,116
5985,Negotiation/Review,325000,85,David Martinez,Manufacturing,Quality Manager,New Business,Partner Referral,NV,92
5986,Qualification,385000,25,Michael Chang,Healthcare,IT Director,Upgrade,Healthcare Conference,SD,148
5987,Proposal/Price Quote,195000,65,Michael Chang,Energy,Operations Director,New Business,Webinar,LA,101
5988,Decision Makers,215000,75,Sarah Johnson,Healthcare,Analytics Director,New Business,Conference,ND,86
5989,Value Proposition,155000,45,Sarah Johnson,Food & Beverage,Operations Manager,New Business,Industry Event,WI,164
5990,Negotiation/Review,310000,85,David Martinez,Financial Services,Digital Banking Director,Upgrade,Existing Customer,CO,87
5991,Value Proposition,155000,45,Sarah Johnson,Food & Beverage,Operations Manager,New Business,Industry Event,WI,164
5992,Qualification,385000,25,Michael Chang,Healthcare,IT Director,Upgrade,Healthcare Conference,SD,148
5993,Needs Analysis,185000,35,David Martinez,Agriculture,Executive Director,New Business,Trade Show,WA,112
5994,Qualification,75000,20,Emma Wilson,Retail,Operations Manager,New Business,Website,IL,61
5995,Value Proposition,420000,45,Sarah Johnson,Education,Technology Director,New Business,Email Campaign,MD,184
5996,Value Proposition,165000,40,Sarah Johnson,Education,Research Director,New Business,Conference,NY,143
5997,Perception Analysis,275000,20,Alex Rodriguez,Transportation,Terminal Manager,New Business,LinkedIn,FL,174
5998,Decision Makers,315000,70,Sarah Johnson,Government,IT Director,New Business,RFP,MT,97
5999,Perception Analysis,285000,25,Alex Rodriguez,Government,Transportation Director,New Business,RFP,AL,203
6000,Decision Makers,275000,70,Alex Rodriguez,Biotechnology,Lab Director,New Business,Trade Show,ND,97
6001,Needs Analysis,125000,30,Alex Rodriguez,Technology,IT Director,New Business,Trade Show,NJ,15
6002,Proposal/Price Quote,425000,60,Michael Chang,Education,IT Director,New Business,Education Conference,KS,118
6003,Negotiation/Review,265000,80,David Martinez,Transportation,Logistics Director,New Business,Partner Referral,KY,86
6004,Needs Analysis,255000,35,David Martinez,Energy,Operations Manager,New Business,Industry Event,PA,128
6005,Needs Analysis,375000,30,David Martinez,Manufacturing,Operations Director,New Business,Industry EventOPP-2024-0081,SC,158
6006,Proposal/Price Quote,365000,65,Michael Chang,Government,Records Administrator,New Business,RFP,OH,123
6007,Decision Makers,135000,75,David Martinez,Food & Beverage,Inventory Manager,New Business,Industry Event,IN,51
6008,Proposal/Price Quote,275000,65,Michael Chang,Financial Services,Client Relations Director,New Business,Industry Event,UT,117
6009,Decision Makers,315000,70,Sarah Johnson,Government,IT Director,New Business,RFP,MT,97
6010,Qualification,185000,25,Michael Chang,Forestry,Operations Director,New Business,Industry Event,MS,133
6011,Value Proposition,165000,40,Sarah Johnson,Hospitality,Reservations Manager,New Business,Trade Show,WV,158
6012,Value Proposition,115000,40,Sarah Johnson,Marketing,Account Director,New Business,Webinar,SC,102
6013,Proposal/Price Quote,385000,60,Michael Chang,Government,Records Manager,New Business,RFP,ME,137
6014,Perception Analysis,175000,15,Alex Rodriguez,Food & Beverage,Production Manager,New Business,Trade Show,NC,155
6015,Proposal/Price Quote,325000,60,Michael Chang,Education,Technology Director,New Business,Education Conference,CO,118
6016,Value Proposition,155000,45,Sarah Johnson,Food & Beverage,Operations Manager,New Business,Industry Event,WI,164
6017,Qualification,185000,25,Michael Chang,Forestry,Operations Director,New Business,Industry Event,MS,133
6018,Negotiation/Review,325000,85,David Martinez,Manufacturing,Quality Manager,New Business,Partner Referral,NV,92
6019,Qualification,385000,25,Michael Chang,Healthcare,IT Director,Upgrade,Healthcare Conference,SD,148
6020,Negotiation/Review,285000,90,David Martinez,Financial Services,Security Officer,New Business,Webinar,WI,87
6021,Value Proposition,185000,40,Michael Chang,Construction,CEO,New Business,LinkedIn,IL,84
6022,Value Proposition,420000,45,Sarah Johnson,Education,Technology Director,New Business,Email Campaign,MD,184
6023,Negotiation/Review,285000,90,David Martinez,Financial Services,Security Officer,New Business,Webinar,WI,87
6024,Decision Makers,215000,75,Sarah Johnson,Healthcare,Analytics Director,New Business,Conference,ND,86
6025,Negotiation/Review,325000,85,David Martinez,Manufacturing,Production Director,New Business,Trade Show,VT,86
6026,Perception Analysis,315000,20,Alex Rodriguez,Utilities,Utilities Director,New Business,RFP,LA,194
6027,Perception Analysis,295000,20,Alex Rodriguez,Insurance,Operations Director,New Business,Cold Call,MD,201
6028,Proposal/Price Quote,235000,60,Michael Chang,Transportation,Operations Manager,New Business,Webinar,FL,96
6029,Value Proposition,185000,40,Michael Chang,Construction,CEO,New Business,LinkedIn,IL,84
6030,Needs Analysis,355000,30,David Martinez,Aviation,Maintenance Director,New Business,Industry Event,IA,123
6031,Perception Analysis,215000,20,Alex Rodriguez,Insurance,Claims Director,New Business,Cold Call,MA,102
6032,Qualification,195000,30,Michael Chang,Manufacturing,Supply Chain Manager,New Business,Partner Referral,CT,116
6033,Value Proposition,420000,45,Sarah Johnson,Education,Technology Director,New Business,Email Campaign,MD,184
6034,Perception Analysis,475000,25,Alex Rodriguez,Healthcare,Network Administrator,Upgrade,Industry Event,OR,148
6035,Value Proposition,420000,45,Sarah Johnson,Education,Technology Director,New Business,Email Campaign,MD,184
6036,Needs Analysis,295000,30,David Martinez,Hospitality,Operations Director,New Business,Industry EventOPP-2024-0071,VA,158
6037,Needs Analysis,275000,35,David Martinez,Transportation,Operations Director,New Business,Partner ReferralOPP-2024-0061,HI,143
6038,Qualification,185000,25,Michael Chang,Forestry,Operations Director,New Business,Industry Event,MS,133
6039,Qualification,385000,25,Michael Chang,Healthcare,IT Director,Upgrade,Healthcare Conference,SD,148
6040,Decision Makers,185000,75,Sarah Johnson,Healthcare,Patient Services Director,New Business,Healthcare Conference,MN,92
6041,Needs Analysis,375000,30,David Martinez,Manufacturing,Operations Director,New Business,Industry EventOPP-2024-0081,SC,158
6042,Negotiation/Review,310000,85,David Martinez,Financial Services,Digital Banking Director,Upgrade,Existing Customer,CO,87
6043,Negotiation/Review,235000,80,David Martinez,Manufacturing,Quality Director,New Business,Trade Show,FL,81
6044,Value Proposition,420000,45,Sarah Johnson,Education,Technology Director,New Business,Email Campaign,MD,184
6045,Qualification,185000,25,Michael Chang,Forestry,Operations Director,New Business,Industry Event,MS,133
6046,Proposal/Price Quote,195000,65,Michael Chang,Energy,Operations Director,New Business,Webinar,LA,101
6047,Decision Makers,175000,75,Sarah Johnson,Healthcare,IT Manager,New Business,Healthcare Conference,AR,87
6048,Proposal/Price Quote,350000,65,Michael Chang,Transportation,Ticketing Director,New Business,RFP,OH,114
6049,Negotiation/Review,325000,85,David Martinez,Manufacturing,Production Director,New Business,Trade Show,VT,86
6050,Proposal/Price Quote,210000,60,Michael Chang,Financial Services,COO,Upgrade,Referral,IN,61
6051,Value Proposition,185000,40,Michael Chang,Construction,CEO,New Business,LinkedIn,IL,84
6052,Decision Makers,185000,75,Sarah Johnson,Healthcare,Patient Services Director,New Business,Healthcare Conference,MN,92
6053,Qualification,225000,30,Michael Chang,Transportation,Fare Systems Manager,New Business,Industry Event,ND,143
6054,Qualification,225000,30,Michael Chang,Transportation,Fare Systems Manager,New Business,Industry Event,ND,143
6055,Needs Analysis,275000,35,David Martinez,Transportation,Operations Director,New Business,Partner ReferralOPP-2024-0061,HI,143
6056,Proposal/Price Quote,350000,65,Michael Chang,Transportation,Ticketing Director,New Business,RFP,OH,114
6057,Needs Analysis,385000,35,David Martinez,Manufacturing,Operations Director,New Business,Partner ReferralOPP-2024-0031,WA,141
6058,Needs Analysis,225000,30,David Martinez,Automotive,General Manager,New Business,Industry Event,CT,96
6059,Value Proposition,115000,40,Sarah Johnson,Marketing,Account Director,New Business,Webinar,SC,102
6060,Perception Analysis,215000,20,Alex Rodriguez,Insurance,Claims Director,New Business,Cold Call,MA,102
6061,Qualification,185000,25,Michael Chang,Forestry,Operations Director,New Business,Industry Event,MS,133
6062,Value Proposition,155000,45,Sarah Johnson,Food & Beverage,Operations Manager,New Business,Industry Event,WI,164
6063,Perception Analysis,345000,20,Alex Rodriguez,Utilities,Operations Director,New Business,RFP,OR,204
6064,Needs Analysis,355000,30,David Martinez,Aviation,Maintenance Director,New Business,Industry Event,IA,123
6065,Needs Analysis,225000,30,David Martinez,Automotive,General Manager,New Business,Industry Event,CT,96
6066,Needs Analysis,235000,30,David Martinez,Energy,Facilities Manager,New Business,Partner ReferralOpportunity_ID,DE,133
6067,Negotiation/Review,235000,80,David Martinez,Manufacturing,Quality Director,New Business,Trade Show,FL,81
6068,Proposal/Price Quote,175000,65,Michael Chang,Education,Curriculum Director,New Business,Education Conference,AZ,106
6069,Proposal/Price Quote,350000,65,Michael Chang,Transportation,Ticketing Director,New Business,RFP,OH,114
6070,Perception Analysis,320000,15,Alex Rodriguez,Government,Records Administrator,New Business,RFP,NM,184
6071,Qualification,215000,25,Michael Chang,Automotive,General Manager,New Business,Cold Call,IL,143
6072,Proposal/Price Quote,385000,60,Michael Chang,Government,Records Manager,New Business,RFP,ME,137
6073,Negotiation/Review,285000,90,David Martinez,Financial Services,Security Officer,New Business,Webinar,WI,87
6074,Perception Analysis,320000,15,Alex Rodriguez,Government,Records Administrator,New Business,RFP,NM,184
6075,Negotiation/Review,320000,80,David Martinez,Healthcare,CTO,New Business,Partner Referral,WY,82
6076,Decision Makers,135000,75,David Martinez,Food & Beverage,Inventory Manager,New Business,Industry Event,IN,51
6077,Value Proposition,175000,45,Michael Chang,Hospitality,Property Manager,New Business,Partner Referral,RI,66
6078,Perception Analysis,175000,15,Alex Rodriguez,Food & Beverage,Production Manager,New Business,Trade Show,NC,155
6079,Value Proposition,420000,45,Sarah Johnson,Education,Technology Director,New Business,Email Campaign,MD,184
6080,Negotiation/Review,310000,85,David Martinez,Financial Services,Digital Banking Director,Upgrade,Existing Customer,CO,87
6081,Perception Analysis,295000,20,Alex Rodriguez,Insurance,Operations Director,New Business,Cold Call,MD,201
6082,Perception Analysis,315000,20,Alex Rodriguez,Utilities,Utilities Director,New Business,RFP,LA,194
6083,Value Proposition,185000,40,Michael Chang,Construction,CEO,New Business,LinkedIn,IL,84
6084,Negotiation/Review,110000,90,Sarah Johnson,Financial Services,Managing Partner,Renewal,Existing Customer,SC,35
6085,Negotiation/Review,310000,85,David Martinez,Financial Services,Digital Banking Director,Upgrade,Existing Customer,CO,87
6086,Perception Analysis,320000,15,Alex Rodriguez,Government,Records Administrator,New Business,RFP,NM,184
6087,Negotiation/Review,285000,90,David Martinez,Financial Services,Security Officer,New Business,Webinar,WI,87
6088,Perception Analysis,175000,15,Alex Rodriguez,Food & Beverage,Production Manager,New Business,Trade Show,NC,155
6089,Value Proposition,125000,45,Sarah Johnson,Retail,Marketing Director,New Business,Trade Show,PA,148
6090,Proposal/Price Quote,425000,60,Michael Chang,Education,IT Director,New Business,Education Conference,KS,118
6091,Proposal/Price Quote,235000,60,Michael Chang,Transportation,Operations Manager,New Business,Webinar,FL,96
6092,Qualification,225000,30,Michael Chang,Transportation,Fare Systems Manager,New Business,Industry Event,ND,143
6093,Proposal/Price Quote,275000,65,Michael Chang,Financial Services,Client Relations Director,New Business,Industry Event,UT,117
6094,Negotiation/Review,235000,80,David Martinez,Manufacturing,Quality Director,New Business,Trade Show,FL,81
6095,Value Proposition,420000,45,Sarah Johnson,Education,Technology Director,New Business,Email Campaign,MD,184
6096,Proposal/Price Quote,325000,60,Michael Chang,Education,Technology Director,New Business,Education Conference,CO,118
6097,Decision Makers,245000,70,Sarah Johnson,Healthcare,Telehealth Director,New Business,Industry Event,VT,86
6098,Qualification,185000,25,Michael Chang,Forestry,Operations Director,New Business,Industry Event,MS,133
6099,Perception Analysis,275000,20,Alex Rodriguez,Transportation,Terminal Manager,New Business,LinkedIn,FL,174
6100,Needs Analysis,255000,35,David Martinez,Energy,Operations Manager,New Business,Industry Event,PA,128
6101,Value Proposition,135000,40,Sarah Johnson,Hospitality,Operations Director,New Business,Trade Show,MT,156
6102,Needs Analysis,125000,30,Alex Rodriguez,Technology,IT Director,New Business,Trade Show,NJ,15
6103,Perception Analysis,315000,20,Alex Rodriguez,Utilities,Utilities Director,New Business,RFP,LA,194
6104,Negotiation/Review,285000,90,David Martinez,Financial Services,Security Officer,New Business,Webinar,WI,87
6105,Qualification,245000,30,Michael Chang,Transportation,Fare Systems Manager,New Business,Partner Referral,MI,148
6106,Decision Makers,135000,75,David Martinez,Food & Beverage,Inventory Manager,New Business,Industry Event,IN,51
6107,Needs Analysis,375000,30,David Martinez,Manufacturing,Operations Director,New Business,Industry EventOPP-2024-0081,SC,158
6108,Decision Makers,275000,70,Alex Rodriguez,Biotechnology,Lab Director,New Business,Trade Show,ND,97
6109,Decision Makers,215000,75,Sarah Johnson,Healthcare,Analytics Director,New Business,Conference,ND,86
6110,Negotiation/Review,265000,85,David Martinez,Financial Services,CTO,New Business,Webinar,MS,87
6111,Qualification,385000,25,Michael Chang,Healthcare,IT Director,Upgrade,Healthcare Conference,SD,148
6112,Decision Makers,145000,70,Sarah Johnson,Sports,Performance Director,New Business,Trade Show,KS,76
6113,Decision Makers,185000,75,Sarah Johnson,Healthcare,Patient Services Director,New Business,Healthcare Conference,MN,92
6114,Proposal/Price Quote,365000,65,Michael Chang,Government,Records Administrator,New Business,RFP,OH,123
6115,Needs Analysis,295000,30,David Martinez,Hospitality,Operations Director,New Business,Industry EventOPP-2024-0071,VA,158
6116,Decision Makers,195000,70,Sarah Johnson,Healthcare,Analytics Director,New Business,Healthcare Conference,MA,92
6117,Proposal/Price Quote,235000,60,Michael Chang,Transportation,Operations Manager,New Business,Webinar,FL,96
6118,Perception Analysis,175000,15,Alex Rodriguez,Food & Beverage,Production Manager,New Business,Trade Show,NC,155
6119,Value Proposition,175000,45,Michael Chang,Hospitality,Property Manager,New Business,Partner Referral,RI,66
6120,Proposal/Price Quote,210000,60,Michael Chang,Financial Services,COO,Upgrade,Referral,IN,61
6121,Perception Analysis,315000,20,Alex Rodriguez,Utilities,Utilities Director,New Business,RFP,LA,194
6122,Negotiation/Review,110000,90,Sarah Johnson,Financial Services,Managing Partner,Renewal,Existing Customer,SC,35
6123,Value Proposition,175000,45,Michael Chang,Hospitality,Property Manager,New Business,Partner Referral,RI,66
6124,Qualification,320000,35,Sarah Johnson,Education,IT Director,New Business,Referral,NE,131
6125,Decision Makers,175000,75,Sarah Johnson,Healthcare,IT Manager,New Business,Healthcare Conference,AR,87
6126,Negotiation/Review,110000,90,Sarah Johnson,Financial Services,Managing Partner,Renewal,Existing Customer,SC,35
6127,Negotiation/Review,110000,90,Sarah Johnson,Financial Services,Managing Partner,Renewal,Existing Customer,SC,35
6128,Needs Analysis,235000,30,David Martinez,Energy,Facilities Manager,New Business,Partner ReferralOpportunity_ID,DE,133
6129,Qualification,75000,20,Emma Wilson,Retail,Operations Manager,New Business,Website,IL,61
6130,Needs Analysis,255000,35,David Martinez,Energy,Operations Manager,New Business,Industry Event,PA,128
6131,Qualification,95000,20,Michael Chang,Food & Beverage,Operations Director,Upgrade,Cold Call,CT,116
6132,Decision Makers,195000,70,Sarah Johnson,Healthcare,Analytics Director,New Business,Healthcare Conference,MA,92
6133,Value Proposition,185000,40,Michael Chang,Construction,CEO,New Business,LinkedIn,IL,84
6134,Decision Makers,135000,75,David Martinez,Food & Beverage,Inventory Manager,New Business,Industry Event,IN,51
6135,Decision Makers,185000,75,Sarah Johnson,Healthcare,Patient Services Director,New Business,Healthcare Conference,MN,92
6136,Negotiation/Review,320000,80,David Martinez,Healthcare,CTO,New Business,Partner Referral,WY,82
6137,Decision Makers,135000,75,David Martinez,Food & Beverage,Inventory Manager,New Business,Industry Event,IN,51
6138,Value Proposition,195000,45,Sarah Johnson,Education,IT Director,New Business,Education Conference,VT,158
6139,Perception Analysis,475000,25,Alex Rodriguez,Healthcare,Network Administrator,Upgrade,Industry Event,OR,148
6140,Qualification,215000,25,Michael Chang,Automotive,General Manager,New Business,Cold Call,IL,143
6141,Value Proposition,125000,45,Sarah Johnson,Retail,Marketing Director,New Business,Trade Show,PA,148
6142,Needs Analysis,230000,25,Emma Wilson,Food & Beverage,Supply Chain Director,New Business,Industry Event,SD,96
6143,Value Proposition,165000,40,Sarah Johnson,Education,Research Director,New Business,Conference,NY,143
6144,Qualification,75000,20,Emma Wilson,Retail,Operations Manager,New Business,Website,IL,61
6145,Proposal/Price Quote,365000,65,Michael Chang,Government,Records Administrator,New Business,RFP,OH,123
6146,Qualification,245000,30,Michael Chang,Transportation,Fare Systems Manager,New Business,Partner Referral,MI,148
6147,Proposal/Price Quote,350000,65,Michael Chang,Transportation,Ticketing Director,New Business,RFP,OH,114
6148,Value Proposition,155000,45,Sarah Johnson,Food & Beverage,Operations Manager,New Business,Industry Event,WI,164
6149,Negotiation/Review,235000,80,David Martinez,Manufacturing,Quality Director,New Business,Trade Show,FL,81
6150,Value Proposition,175000,45,Michael Chang,Hospitality,Property Manager,New Business,Partner Referral,RI,66
6151,Value Proposition,155000,45,Sarah Johnson,Food & Beverage,Operations Manager,New Business,Industry Event,WI,164
6152,Negotiation/Review,110000,90,Sarah Johnson,Financial Services,Managing Partner,Renewal,Existing Customer,SC,35
6153,Needs Analysis,230000,25,Emma Wilson,Food & Beverage,Supply Chain Director,New Business,Industry Event,SD,96
6154,Qualification,320000,35,Sarah Johnson,Education,IT Director,New Business,Referral,NE,131
6155,Proposal/Price Quote,425000,60,Michael Chang,Education,IT Director,New Business,Education Conference,KS,118
6156,Proposal/Price Quote,325000,60,Michael Chang,Education,Technology Director,New Business,Education Conference,CO,118
6157,Value Proposition,165000,40,Sarah Johnson,Hospitality,Reservations Manager,New Business,Trade Show,WV,158
6158,Decision Makers,315000,70,Sarah Johnson,Government,IT Director,New Business,RFP,MT,97
6159,Negotiation/Review,110000,90,Sarah Johnson,Financial Services,Managing Partner,Renewal,Existing Customer,SC,35
6160,Decision Makers,315000,70,Sarah Johnson,Government,IT Director,New Business,RFP,MT,97
6161,Qualification,85000,25,Michael Chang,Hospitality,IT Manager,New Business,Partner Referral,AR,128
6162,Qualification,185000,25,Michael Chang,Forestry,Operations Director,New Business,Industry Event,MS,133
6163,Decision Makers,315000,70,Sarah Johnson,Government,IT Director,New Business,RFP,MT,97
6164,Proposal/Price Quote,365000,65,Michael Chang,Government,Records Administrator,New Business,RFP,OH,123
6165,Perception Analysis,215000,20,Alex Rodriguez,Insurance,Claims Director,New Business,Cold Call,MA,102
6166,Needs Analysis,225000,30,David Martinez,Automotive,General Manager,New Business,Industry Event,CT,96
6167,Value Proposition,175000,45,Michael Chang,Hospitality,Property Manager,New Business,Partner Referral,RI,66
6168,Value Proposition,115000,40,Sarah Johnson,Marketing,Account Director,New Business,Webinar,SC,102
6169,Decision Makers,175000,75,Sarah Johnson,Healthcare,IT Manager,New Business,Healthcare Conference,AR,87
6170,Negotiation/Review,310000,85,David Martinez,Financial Services,Digital Banking Director,Upgrade,Existing Customer,CO,87
6171,Value Proposition,135000,40,Sarah Johnson,Hospitality,Operations Director,New Business,Trade Show,MT,156
6172,Proposal/Price Quote,365000,65,Michael Chang,Government,Records Administrator,New Business,RFP,OH,123
6173,Proposal/Price Quote,210000,60,Michael Chang,Financial Services,COO,Upgrade,Referral,IN,61
6174,Decision Makers,275000,70,Alex Rodriguez,Biotechnology,Lab Director,New Business,Trade Show,ND,97
6175,Decision Makers,285000,70,Sarah Johnson,Healthcare,Medical Director,New Business,Industry Event,KY,86
6176,Value Proposition,115000,40,Sarah Johnson,Marketing,Account Director,New Business,Webinar,SC,102
6177,Value Proposition,125000,45,Sarah Johnson,Retail,Marketing Director,New Business,Trade Show,PA,148
6178,Qualification,320000,35,Sarah Johnson,Education,IT Director,New Business,Referral,NE,131
6179,Value Proposition,115000,40,Sarah Johnson,Marketing,Account Director,New Business,Webinar,SC,102
6180,Proposal/Price Quote,365000,65,Michael Chang,Government,Records Administrator,New Business,RFP,OH,123
6181,Qualification,185000,25,Michael Chang,Forestry,Operations Director,New Business,Industry Event,MS,133
6182,Perception Analysis,275000,20,Alex Rodriguez,Transportation,Terminal Manager,New Business,LinkedIn,FL,174
6183,Value Proposition,420000,45,Sarah Johnson,Education,Technology Director,New Business,Email Campaign,MD,184
6184,Proposal/Price Quote,425000,60,Michael Chang,Education,IT Director,New Business,Education Conference,KS,118
6185,Negotiation/Review,355000,85,David Martinez,Manufacturing,Operations Director,New Business,Industry Event,DE,87
6186,Value Proposition,115000,40,Sarah Johnson,Marketing,Account Director,New Business,Webinar,SC,102
6187,Qualification,85000,25,Michael Chang,Hospitality,IT Manager,New Business,Partner Referral,AR,128
6188,Qualification,75000,20,Emma Wilson,Retail,Operations Manager,New Business,Website,IL,61
6189,Negotiation/Review,355000,85,David Martinez,Manufacturing,Operations Director,New Business,Industry Event,DE,87
6190,Value Proposition,155000,45,Sarah Johnson,Food & Beverage,Operations Manager,New Business,Industry Event,WI,164
6191,Negotiation/Review,110000,90,Sarah Johnson,Financial Services,Managing Partner,Renewal,Existing Customer,SC,35
6192,Decision Makers,315000,70,Sarah Johnson,Government,IT Director,New Business,RFP,MT,97
6193,Value Proposition,115000,40,Sarah Johnson,Marketing,Account Director,New Business,Webinar,SC,102
6194,Perception Analysis,345000,20,Alex Rodriguez,Utilities,Operations Director,New Business,RFP,OR,204
6195,Proposal/Price Quote,365000,65,Michael Chang,Government,Records Administrator,New Business,RFP,OH,123
6196,Negotiation/Review,285000,90,David Martinez,Financial Services,Security Officer,New Business,Webinar,WI,87
6197,Proposal/Price Quote,275000,65,Michael Chang,Financial Services,Client Relations Director,New Business,Industry Event,UT,117
6198,Perception Analysis,175000,15,Alex Rodriguez,Food & Beverage,Production Manager,New Business,Trade Show,NC,155
6199,Negotiation/Review,285000,90,David Martinez,Financial Services,Security Officer,New Business,Webinar,WI,87
6200,Value Proposition,165000,40,Sarah Johnson,Hospitality,Reservations Manager,New Business,Trade Show,WV,158
6201,Needs Analysis,125000,30,Alex Rodriguez,Technology,IT Director,New Business,Trade Show,NJ,15
6202,Needs Analysis,355000,30,David Martinez,Aviation,Maintenance Director,New Business,Industry Event,IA,123
6203,Value Proposition,420000,45,Sarah Johnson,Education,Technology Director,New Business,Email Campaign,MD,184
6204,Value Proposition,420000,45,Sarah Johnson,Education,Technology Director,New Business,Email Campaign,MD,184
6205,Perception Analysis,215000,20,Alex Rodriguez,Insurance,Claims Director,New Business,Cold Call,MA,102
6206,Proposal/Price Quote,210000,60,Michael Chang,Financial Services,COO,Upgrade,Referral,IN,61
6207,Decision Makers,245000,70,Sarah Johnson,Healthcare,Telehealth Director,New Business,Industry Event,VT,86
6208,Value Proposition,165000,40,Sarah Johnson,Hospitality,Reservations Manager,New Business,Trade Show,WV,158
6209,Negotiation/Review,310000,85,David Martinez,Financial Services,Digital Banking Director,Upgrade,Existing Customer,CO,87
6210,Decision Makers,145000,70,Sarah Johnson,Sports,Performance Director,New Business,Trade Show,KS,76
6211,Value Proposition,420000,45,Sarah Johnson,Education,Technology Director,New Business,Email Campaign,MD,184
6212,Value Proposition,165000,40,Sarah Johnson,Education,Research Director,New Business,Conference,NY,143
6213,Decision Makers,245000,70,Sarah Johnson,Healthcare,Telehealth Director,New Business,Industry Event,VT,86
6214,Proposal/Price Quote,175000,65,Michael Chang,Education,Curriculum Director,New Business,Education Conference,AZ,106
6215,Decision Makers,285000,70,Sarah Johnson,Healthcare,Medical Director,New Business,Industry Event,KY,86
6216,Qualification,245000,30,Michael Chang,Transportation,Fare Systems Manager,New Business,Partner Referral,MI,148
6217,Value Proposition,165000,40,Sarah Johnson,Hospitality,Reservations Manager,New Business,Trade Show,WV,158
6218,Perception Analysis,320000,15,Alex Rodriguez,Government,Records Administrator,New Business,RFP,NM,184
6219,Proposal/Price Quote,275000,65,Michael Chang,Financial Services,Client Relations Director,New Business,Industry Event,UT,117
6220,Needs Analysis,355000,30,David Martinez,Aviation,Maintenance Director,New Business,Industry Event,IA,123
6221,Decision Makers,185000,75,Sarah Johnson,Healthcare,Patient Services Director,New Business,Healthcare Conference,MN,92
6222,Value Proposition,135000,40,Sarah Johnson,Hospitality,Operations Director,New Business,Trade Show,MT,156
6223,Qualification,85000,25,Michael Chang,Hospitality,IT Manager,New Business,Partner Referral,AR,128
6224,Needs Analysis,375000,30,David Martinez,Manufacturing,Operations Director,New Business,Industry EventOPP-2024-0081,SC,158
6225,Perception Analysis,475000,25,Alex Rodriguez,Healthcare,Network Administrator,Upgrade,Industry Event,OR,148
6226,Negotiation/Review,110000,90,Sarah Johnson,Financial Services,Managing Partner,Renewal,Existing Customer,SC,35
6227,Decision Makers,285000,70,Sarah Johnson,Healthcare,Medical Director,New Business,Industry Event,KY,86
6228,Decision Makers,215000,75,Sarah Johnson,Healthcare,Analytics Director,New Business,Conference,ND,86
6229,Needs Analysis,275000,35,David Martinez,Transportation,Operations Director,New Business,Partner ReferralOPP-2024-0061,HI,143
6230,Decision Makers,215000,75,Sarah Johnson,Healthcare,Analytics Director,New Business,Conference,ND,86
6231,Negotiation/Review,355000,85,David Martinez,Manufacturing,Operations Director,New Business,Industry Event,DE,87
6232,Negotiation/Review,285000,90,David Martinez,Financial Services,Security Officer,New Business,Webinar,WI,87
6233,Needs Analysis,225000,30,David Martinez,Automotive,General Manager,New Business,Industry Event,CT,96
6234,Needs Analysis,235000,30,David Martinez,Energy,Facilities Manager,New Business,Partner ReferralOpportunity_ID,DE,133
6235,Decision Makers,215000,75,Sarah Johnson,Healthcare,Analytics Director,New Business,Conference,ND,86
6236,Negotiation/Review,285000,90,David Martinez,Financial Services,Security Officer,New Business,Webinar,WI,87
6237,Proposal/Price Quote,425000,60,Michael Chang,Education,IT Director,New Business,Education Conference,KS,118
6238,Qualification,320000,35,Sarah Johnson,Education,IT Director,New Business,Referral,NE,131
6239,Proposal/Price Quote,385000,60,Michael Chang,Government,Records Manager,New Business,RFP,ME,137
6240,Value Proposition,165000,40,Sarah Johnson,Hospitality,Reservations Manager,New Business,Trade Show,WV,158
6241,Needs Analysis,230000,25,Emma Wilson,Food & Beverage,Supply Chain Director,New Business,Industry Event,SD,96
6242,Qualification,245000,30,Michael Chang,Transportation,Fare Systems Manager,New Business,Partner Referral,MI,148
6243,Proposal/Price Quote,425000,60,Michael Chang,Education,IT Director,New Business,Education Conference,KS,118
6244,Proposal/Price Quote,350000,65,Michael Chang,Transportation,Ticketing Director,New Business,RFP,OH,114
6245,Negotiation/Review,235000,80,David Martinez,Manufacturing,Quality Director,New Business,Trade Show,FL,81
6246,Qualification,320000,35,Sarah Johnson,Education,IT Director,New Business,Referral,NE,131
6247,Qualification,245000,30,Michael Chang,Transportation,Fare Systems Manager,New Business,Partner Referral,MI,148
6248,Proposal/Price Quote,195000,65,Michael Chang,Energy,Operations Director,New Business,Webinar,LA,101
6249,Value Proposition,155000,45,Sarah Johnson,Food & Beverage,Operations Manager,New Business,Industry Event,WI,164
6250,Needs Analysis,235000,30,David Martinez,Energy,Facilities Manager,New Business,Partner ReferralOpportunity_ID,DE,133
6251,Value Proposition,165000,40,Sarah Johnson,Hospitality,Reservations Manager,New Business,Trade Show,WV,158
6252,Perception Analysis,215000,20,Alex Rodriguez,Insurance,Claims Director,New Business,Cold Call,MA,102
6253,Value Proposition,155000,45,Sarah Johnson,Food & Beverage,Operations Manager,New Business,Industry Event,WI,164
